code,attitude,reason,earn_nextweek,
000030.SZ,,,-4.258443465,-1.687116564
000430.SZ,,,-0.560747664,0
000539.SZ,,,-0.529100529,-1.6
000606.SZ,,,-0.952380952,18.93203883
000610.SZ,,,1.052631579,2.916666667
000616.SZ,,,-4.433497537,5.18134715
000631.SZ,,,11.11111111,-3.405572755
000708.SZ,,,-6.81140911,0.909090909
000721.SZ,,,1.182033097,0.709219858
000899.SZ,,,-7.80952381,4.722792608
000900.SZ,,,-3.240740741,-2.625298329
000935.SZ,,,-1.466049383,3.75880971
002012.SZ,,,-1.773049645,0.362318841
002033.SZ,,,-0.950871632,0.643086817
002059.SZ,,,-0.92936803,5.440900563
002109.SZ,,,-4.225352113,2.959830867
002224.SZ,,,-0.831600832,1.257861635
002318.SZ,,,-7.459016393,2.933333333
002320.SZ,,,-5.483870968,0.684931507
002331.SZ,,,-2.001740644,11.85840708
002381.SZ,,,-3.221957041,2.096177559
002439.SZ,,,0.066666667,-3.236569903
002440.SZ,,,-5.918367347,-0.868621064
002443.SZ,,,-2.905198777,0.315457413
002469.SZ,,,-4.847396768,1.883239171
002484.SZ,,,5.141579732,6.920903955
002501.SZ,,,-0.833333333,5.882352941
002530.SZ,,,6.969026549,9.116541353
002539.SZ,,,-8.174097665,2.555168409
002541.SZ,,,-1.030548399,13.46189852
002637.SZ,,,-1.574264203,9.160305344
002641.SZ,,,0.308641975,6.769230769
002698.SZ,,,2.215189873,-2.244582043
002718.SZ,,,-1.203113942,0.358680057
002859.SZ,,,8.710801394,-1.68612192
002876.SZ,,,7.177125312,8.566308244
002928.SZ,,,-6.527415144,12.44755245
003007.SZ,,,-5.352241537,-0.43499275
003022.SZ,,,5.666666667,15.27145359
300004.SZ,,,-0.701754386,2.669039146
300010.SZ,,,-1.605136437,-4.825291181
300027.SZ,,,-0.276243094,0
300029.SZ,,,-2.365591398,9.691629956
300161.SZ,,,-1.417399804,-0.149551346
300180.SZ,,,-5.904761905,3.042596349
300341.SZ,,,-2.765486726,0.227790433
300590.SZ,Manipulated,sector & strong month,6.340206186,-6.112469438
300692.SZ,S,weak,-0.793650794,7.486631016
300725.SZ,B,strong week/month,-1.075268817,6.265780731
300751.SZ,B,strong day/week/month,-3.333333333,-3.47
300771.SZ,o,,-0.041135335,1.646090535
300792.SZ,o,,-10.25862069,2.410346855
300795.SZ,o,st,2.25921522,5.797101449
300811.SZ,v,perfect technique,19.28063572,-3.878165398
300832.SZ,x,new,-7.461394141,-1.984375
300945.SZ,x,new,-1.238095238,1.080550098
300979.SZ,x,new,-0.269865067,0.585740254
,,,-1.005805328,2.820534654
