code,attitude,reason,earn_nextweek
000536.SZ,,,-0.714285714
000719.SZ,,,1.46627566
000725.SZ,,,1.751592357
000816.SZ,,,-1.056338028
000971.SZ,x,,-5.415162455
000976.SZ,,,6.273062731
002043.SZ,,,5.344295992
002124.SZ,,,1.533742331
002165.SZ,,,1.50862069
002210.SZ,,,-0.692041522
002324.SZ,,,-6.992481203
002360.SZ,,,-0.264200793
002414.SZ,,,-0.566772937
002487.SZ,o,,7.252440725
002785.SZ,,,8.590047393
002833.SZ,,,-0.586286006
002865.SZ,,,5.495689655
002891.SZ,,,0.242718447
002896.SZ,x,,3.182308522
002922.SZ,,,7.502206531
002979.SZ,,,-0.864752681
002992.SZ,x,,-1.591043017
003041.SZ,x,,-5.886287625
300129.SZ,,,7.757166948
300192.SZ,x,,-7.481751825
300224.SZ,,,0.288739172
300393.SZ,b,,13.13672922
300408.SZ,,,7.936507937
300415.SZ,,,7.496175421
300442.SZ,o,,16.44198895
300507.SZ,,,-2.113459399
300543.SZ,,,-2.43902439
300676.SZ,,,-0.260394792
300752.SZ,,,-5.111473627
300835.SZ,,,1.751064837
300989.SZ,x,,6.536769327
,,,1.929232968
