code,attitude,reason,earn_nextmonth
600030.SH,,,
600053.SH,,,
600070.SH,,,
600073.SH,,,
600095.SH,,,
600131.SH,,,
600155.SH,,,
600206.SH,,,
600239.SH,,,
600305.SH,,,
600345.SH,,,
600360.SH,,,
600410.SH,,,
600446.SH,,,
600498.SH,,,
600510.SH,,,
600536.SH,,,
600546.SH,,,
600547.SH,,,
600556.SH,,,
600580.SH,,,
600609.SH,,,
600624.SH,,,
600635.SH,,,
600718.SH,,,
600728.SH,,,
600756.SH,,,
600764.SH,,,
600785.SH,,,
600797.SH,,,
600801.SH,,,
600802.SH,,,
600831.SH,,,
600837.SH,,,
600845.SH,,,
600866.SH,,,
600984.SH,,,
600996.SH,,,
601162.SH,,,
601236.SH,,,
601519.SH,,,
601568.SH,,,
601628.SH,,,
601688.SH,,,
601700.SH,,,
601778.SH,,,
601872.SH,,,
601881.SH,,,
601975.SH,,,
601995.SH,,,
603000.SH,,,
603019.SH,,,
603022.SH,,,
603053.SH,,,
603068.SH,v,,
603079.SH,,,
603093.SH,,,
603109.SH,,,
603123.SH,,,
603133.SH,,,
603189.SH,,,
603200.SH,,,
603221.SH,,,
603232.SH,,,
603256.SH,,,
603305.SH,,,
603327.SH,,,
603530.SH,,,
603688.SH,,,
603690.SH,,,
603708.SH,,,
603730.SH,,,
603815.SH,,,
603825.SH,,,
605058.SH,,,
605066.SH,,,
605088.SH,,,
605151.SH,,,
605186.SH,,,
605255.SH,,,
605288.SH,,,
605366.SH,,,
688012.SH,,,
688019.SH,,,
688025.SH,,,
688027.SH,,,
688037.SH,,,
688039.SH,,,
688051.SH,,,
688057.SH,,,
688060.SH,,,
688063.SH,,,
688069.SH,,,
688081.SH,,,
688086.SH,,,
688089.SH,,,
688090.SH,,,
688095.SH,,,
688096.SH,,,
688098.SH,,,
688101.SH,,,
688108.SH,,,
688123.SH,,,
688127.SH,,,
688128.SH,,,
688129.SH,,,
688136.SH,,,
688138.SH,,,
688157.SH,,,
688160.SH,,,
688166.SH,,,
688178.SH,,,
688181.SH,,,
688186.SH,,,
688189.SH,,,
688199.SH,,,
688221.SH,,,
688222.SH,,,
688229.SH,,,
688256.SH,,,
688266.SH,,,
688311.SH,,,
688313.SH,,,
688318.SH,,,
688330.SH,,,
688365.SH,,,
688369.SH,,,
688386.SH,,,
688398.SH,,,
688466.SH,,,
688510.SH,,,
688513.SH,,,
688521.SH,,,
688529.SH,,,
688550.SH,,,
688556.SH,,,
688557.SH,,,
688560.SH,,,
688590.SH,,,
688596.SH,,,
688608.SH,,,
688628.SH,,,
688689.SH,,,
688788.SH,,,
