code,attitude,reason,earn_nextweek,,
000005.SZ,,,1.64,-2.150537634,7.182320442
000049.SZ,,,-1.17,-3.66726297,6.350314027
000421.SZ,,,1.12,-2.772643253,0
000498.SZ,,,5.27,-1.903114187,0.706713781
000525.SZ,,,-4.24,2.083333333,5.384615385
000609.SZ,,,1.51,-0.36900369,16.60516605
000628.SZ,,,-1.5,-3.165298945,1.81598063
000636.SZ,,,-5.11,6.133755441,5.629139073
000673.SZ,,,3.53,-4.571428571,20.48192771
000802.SZ,,,-0.49,7.711442786,10.85450346
000888.SZ,,,2.58,0.473933649,-0.156985871
000921.SZ,,,-7.33,-1.030927835,2.013888889
000998.SZ,,,-3.36,-5.49382716,3.725490196
001201.SZ,,,-3.45,0.563909774,-28.52040816
002014.SZ,,,-0.34,-1.254275941,0.923787529
002068.SZ,,,1.74,0.267379679,7.382550336
002129.SZ,,,2.14,2.677058624,14.05902888
002567.SZ,x,macd small,-1.48,-4.197901049,2.044025157
002618.SZ,x,st,-2.3,-8.73015873,23.11111111
002619.SZ,x,st,6.5,-3.846153846,12.09677419
002640.SZ,x,st,-4.62,-5.220883534,12.98701299
002668.SZ,x,macd small,6.51,-1.697792869,-3.826086957
002681.SZ,x,negative NI,9.3,0.856531049,-1.720430108
002758.SZ,x,downtrend,7.82,-10.89385475,-0.835945664
002825.SZ,,?,1.87,-1.201413428,2.8
002853.SZ,,,-7.5,-5.444250871,2.761159687
002867.SZ,,,-2.45,-2.30328442,1.666666667
002886.SZ,,,-0.57,0.857142857,5.744680851
002918.SZ,,,-7.34,-2.907369844,9.843478261
002942.SZ,,,-0.85,-4.884318766,1.931716083
002965.SZ,,,-2.13,0.041152263,5.928689884
002985.SZ,,,-1.1,5.26149637,-0.902598691
002993.SZ,,,-5.14,18.67683093,6.161137441
003029.SZ,,,12.61,-4.133858268,2.021452145
003041.SZ,,,-2.88,1.421319797,-5.886287625
003042.SZ,,,-0.09,-5.627568764,-3.015075377
300044.SZ,x,st,22.98,-3.986710963,5.594405594
300152.SZ,x,negative NI,-0.58,-1.179941003,5.671641791
300178.SZ,x,st腾邦,15.45,0.395256917,8.267716535
300192.SZ,x,downtrend,-3.45,-0.090009001,-7.481751825
300197.SZ,x,macd ,4,0.641025641,0.319488818
300269.SZ,x,st,13.64,2.352941176,-1.930501931
300280.SZ,x,downtrend,-14.13,-2.459736457,4.663212435
300312.SZ,x,st,21.07,-2.486187845,0.573065903
300370.SZ,x,st,15.61,2.941176471,-2.870813397
300408.SZ,v,,-4.47,1.309460182,7.936507937
300441.SZ,,,0.39,1.850048685,0.669856459
300495.SZ,,,6.25,-1.764705882,11.71171171
300499.SZ,,,0.37,0.495662949,4.702970297
300536.SZ,,,4.61,2.753623188,-3.651685393
300715.SZ,,,-4.82,-5.190592052,2.737382378
300723.SZ,,,-3.32,-1.639344262,7.982525814
300732.SZ,,,2.03,-2.738432483,6.219630709
300735.SZ,,,8.94,7.760927743,-5.965463108
300748.SZ,,,-6.72,-2.89017341,8.887109688
300787.SZ,,,-0.54,15.00974659,1.127819549
300806.SZ,v,,2.48,-3.411513859,18.21086262
300859.SZ,x,,9.46,0.900090009,8.691756272
300930.SZ,x,,1.04,-0.792079208,3.830645161
300947.SZ,x,,-3.04,-3.729867194,1.57987127
300968.SZ,x,,-1.48,-3.601440576,-0.808960797
300975.SZ,x,,-4.13,-2.385892116,-0.977729495
300978.SZ,x,,-4.18,-2.719033233,-3.027193433
300981.SZ,x,,-8.35,-3.892448068,9.452736318
300985.SZ,x,,-5.52,-2.235568902,-1.063829787
300988.SZ,x,,-6.5,-5.918618989,0
300990.SZ,x,,-2.83,-1.823176823,2.30296827
,,,0.790447761,-0.880109784,3.592618937
