code,attitude,reason,earn_nextweek
000016.SZ,x,,
000023.SZ,,,
000403.SZ,x,,
000552.SZ,,,
000692.SZ,,,
000751.SZ,,,
000761.SZ,,,
000807.SZ,v,,
000923.SZ,,,
000983.SZ,,,
000997.SZ,,,
002141.SZ,,,
002152.SZ,,,
002154.SZ,,,
002168.SZ,,,
002188.SZ,,,
002203.SZ,,,
002245.SZ,,,
002259.SZ,x,,
002299.SZ,x,,
002301.SZ,,,
002434.SZ,,,
002435.SZ,,,
002444.SZ,,,
002530.SZ,,,
002532.SZ,,,
002537.SZ,x,,
002586.SZ,,,
002671.SZ,,,
002714.SZ,,,
002762.SZ,,,
002806.SZ,,,
002919.SZ,,,
002969.SZ,,,
300046.SZ,x,,
300048.SZ,x,,
300125.SZ,x,,
300132.SZ,,,
300233.SZ,,,
300241.SZ,,,
300367.SZ,,,
300657.SZ,,,
300672.SZ,x,,
300706.SZ,x,,
300753.SZ,v,,
300773.SZ,x,,
300806.SZ,?,,
300835.SZ,x,,
300853.SZ,v,,
300908.SZ,x,,
