code,attitude,reason,earn_nextweek,,
000002.SZ,,,-2.300556586,-3.177641654,-2.5
000032.SZ,,,-1.294176207,1.613716591,0.299401198
000036.SZ,,,-0.540540541,-0.815217391,-0.547945205
000157.SZ,,,-6.392694064,-5.56097561,-4.365904366
000338.SZ,,,-4.87804878,-1.938426454,-0.232693426
000404.SZ,,,-0.496277916,1.74563591,-3.921568627
000526.SZ,,,12.54637437,-4.99238965,3.022424439
000557.SZ,,,0.824175824,0,-1.092896175
000576.SZ,,,0.448833034,-2.200704225,3.34841629
000589.SZ,,,-2.435064935,-1.663893511,-3.565365025
000671.SZ,,,-1.431127013,-5.081669691,-2.879078695
000703.SZ,,,1.261829653,0.311041991,-6.821705426
000708.SZ,,,-5.901639344,2.352941176,-6.81140911
000786.SZ,,,10.4109589,-6.184074457,-3.793256433
000831.SZ,,,5.61861521,-7.200429876,0.290697674
000900.SZ,,,-1.376146789,0,-3.240740741
000902.SZ,,,2.506775068,0.255264837,-9.663064209
000913.SZ,,,7.411273486,-5.037783375,-3.308431163
000922.SZ,,,0.271370421,1.349527665,-8.48806366
000955.SZ,,,-2.268760908,2.872531418,-1.047120419
000976.SZ,,,-1.509433962,-2.107279693,7.6
002007.SZ,,,-2.854996243,-5.103872788,-2.350716023
002008.SZ,,,2.549800797,-3.181118522,1.578947368
002044.SZ,,,-6.779661017,-4.351767906,-14.96663489
002056.SZ,,,0.682335102,-6.992481203,-0.64672595
002064.SZ,,,3.948428687,-1.8419033,-5.146476643
002156.SZ,,,1.422041646,-3.238095238,9.252845126
002164.SZ,,,-1.437699681,0.972447326,-5.136436597
002165.SZ,,,-0.618556701,-3.298969072,-0.428265525
002184.SZ,,,-1.255707763,12.47833622,-4.4
002216.SZ,,,-3.811659193,-4.418604651,-1.154313487
002258.SZ,,,1.345668629,5.762852405,-10.58408467
002263.SZ,,,2.867383513,-0.350877193,-1.754385965
002288.SZ,,,4.577968526,-2.325581395,0.27972028
002298.SZ,,,0.572246066,5.278174037,1.219512195
002299.SZ,,,2.48,-0.429519719,0
002310.SZ,,,-1.866666667,-2.16802168,-3.867403315
002314.SZ,,,3.273809524,-2.011494253,2.647058824
002335.SZ,,,0.911300122,1.013110846,2.69138756
002350.SZ,,,0.396039604,0.198019802,0.790513834
002360.SZ,,,-4.073587385,-2.182810368,5.849582173
002364.SZ,,,-0.486618005,5.752753978,1.063829787
002375.SZ,,,-3.281027104,8.187134503,-4.005340454
002376.SZ,,,-0.980392157,0.548245614,1.960784314
002398.SZ,,,1.412429379,-1.810584958,0.707213579
002401.SZ,,,0.357142857,3.185840708,1.030042918
002405.SZ,,,3.924528302,0.648414986,-1.155234657
002439.SZ,,,-5.503144654,0.16550811,0.066666667
002440.SZ,,,-1.946721311,3.249475891,-5.918367347
002447.SZ,,,4.102564103,0,-0.490196078
002464.SZ,,,20.21276596,-2.702702703,6.542056075
002480.SZ,,,0.456621005,-2.267573696,-3.240740741
002493.SZ,,,-33.25892857,-2.277777778,-6.457142857
002499.SZ,,,1.065719361,9.314586995,2.250803859
002504.SZ,,,4.137931034,1.986754967,2.597402597
002529.SZ,,,3.47826087,12.13389121,-2.611940299
002560.SZ,,,-3.024911032,5.860805861,-1.388888889
002562.SZ,,,-1.103752759,-0.444444444,-4.017857143
002571.SZ,,,-4.583333333,-0.726744186,-4.39238653
002572.SZ,,,0.250357654,-14.75,1.606086221
002588.SZ,,,-0.965250965,1.359223301,-2.490421456
002595.SZ,,,1.882916809,-5.376344086,-3.727369542
002608.SZ,,,-0.762195122,0.769230769,-1.06870229
002625.SZ,,,0.110497238,27.02702703,-1.319148936
002707.SZ,,,-0.523560209,1.754385965,
002713.SZ,,,-1.040118871,-0.448430493,-8.605341246
002723.SZ,,,-2.421052632,-3.758602435,0.988467875
002734.SZ,,,-3.354134165,-1.210653753,-2.479338843
002739.SZ,,,0.359281437,-6.047904192,-0.382409178
002749.SZ,,,-1.510574018,-2.034587996,-4.460580913
002766.SZ,,,0.69124424,1.601830664,-0.684931507
002772.SZ,,,0.632911392,-1.761006289,12.30769231
002776.SZ,,,5.04587156,2.192982456,-3.03030303
002803.SZ,,,6.6,-6.988847584,-2.883460152
002831.SZ,,,-1.573976915,0.957107409,3.240418118
002835.SZ,,,14.60674157,15.4373928,-6.049290515
002841.SZ,,,-4.730795224,-0.323803507,-2.37565549
002851.SZ,,,4.800753059,-4.262295082,-0.661209068
002887.SZ,,,-2.025316456,-3.65535248,-4.512635379
